As,B,Ba,Be,Cd,Co,Cr,Cu,Fe,Hg,Mn,Mo,Pb,Se,Zn,latitude,longitude,altitude,fault,geology
0.2,15.2,7.1,0.3,0.3,0.1,0.5,0.6,93,0.5,0.1,26,2.2,1.5,0.8,28.63811,34.798061,257,200,"Sand,alkaline,granite"
0.3,9.4,7.5,0.3,0.4,0.1,0.3,0.6,14,18.7,0.3,14,1.9,1.8,0.6,28.603468,34.810458,1652,0,"Sand,alkaline,granite"
0.7,9.6,7.1,0.3,0.3,0.2,0.1,0.7,23,58.3,0.1,17,2.2,0.7,0.5,28.575879,34.844785,924,0,"Conglomerate,alkaline"
0.2,9.9,6.8,0.4,0.4,0.3,0.4,0.6,2.5,3.9,0.2,24,2.8,1.5,0.3,28.620362,34.876969,1815,1000,alkaline
0.7,9.1,8.8,0.4,0.3,0.2,0.5,0.7,3.7,20,0.2,11,2.3,0.9,1.6,28.560586,34.990046,1408,0,"volcanic,granite"
0.3,9.3,8.7,0.4,0.3,0.1,0.3,0.5,2,3.2,0.2,27,2.2,0.7,3.6,28.602789,34.992551,2640,20000,volcanic
0.3,18.5,9.2,0.4,0.3,0.1,0.6,0.5,4,2.3,0.1,13,2.5,2.3,1.6,28.488311,34.976893,956,200,gypsum
0.6,7,13.9,0.4,0.3,0.1,0.4,0.5,1.2,19.2,0.1,18,2.5,0.9,1.2,28.572316,34.807835,1312,200,alkaline
0.2,8.5,3.3,0.3,0.3,0.1,0.3,0.6,2.7,1.9,0.3,31,3,0.1,0.8,28.438361,34.786616,595,1000,gypsum
0.1,8.6,24.6,0.4,0.3,0.2,0.8,0.5,0.8,21.7,0.1,25,2.1,1.5,1.4,28.553648,34.903739,2291,10000,"conglomerate,volcanic"
0.7,6.6,17.4,0.3,0.3,0.2,0.4,0.5,1.6,4.3,0.2,18,2.1,1.5,0.5,28.651337,34.876725,3168,0,"alkaline,granite"
0.8,7,10.8,0.4,0.3,0.2,0.6,0.7,1.3,1,0.2,27,2.7,2.8,0.4,28.584441,35.186706,2307,11000,"alkaline,granite"
0.5,7,41.2,0.3,0.1,0.2,0.5,0.5,7.8,0.7,5.2,15,2.9,2.5,6.5,28.512148,34.957213,1089,10000,gypsum
1.2,22.8,16.7,0.4,0.3,0.1,2.1,0.7,0.5,2.1,0.3,12,1.3,2.2,0.9,28.448275,34.93563,864,1000,gypsum
2.2,16.4,20.2,0.4,0.3,0.1,0.7,0.6,14.9,0.1,0.7,13,1.7,3,0.4,28.625897,35.051013,1494,20000,volcanic
0.4,6.6,43.1,0.5,0.3,0.7,0.7,0.5,2,1.2,0.8,23,2.3,2.3,0.1,28.612935,35.218209,2284,20000,"alkaline,granite,volcanic"
1,4.9,25.6,0.4,0.3,0.2,0.7,0.6,3.7,0.7,0.3,19,2.4,0.7,1.1,28.54015,35.065537,1167,200,"Conglomerate,gypsum"
0.3,16.4,77.3,0.3,0.3,0.2,1.3,0.8,0.5,0.1,0.8,12,1.1,0.5,1.2,29.248557,35.017044,1032,20000,sand
0.8,13.2,79.4,0.3,0.3,0.2,0.5,0.6,4.5,28.2,0.1,11,0.1,0.2,2,29.235329,34.969706,279,200,sand
1.5,16.7,100.8,0.2,0.3,0.2,0.4,0.6,0.6,1.8,0.3,22,0.7,0.2,2.1,29.291152,34.977884,403,200,sand
0.9,9.7,44.7,0.4,0.3,0.1,1,0.8,0.6,44.3,0.1,14,1.4,0.4,0.3,29.336922,34.981922,552,200,sand
0.1,12.8,68.5,0.4,0.3,0.1,0.8,0.9,0.7,3.5,0.1,21,2,0.4,3.9,29.319727,35.032035,1245,20000,sand
0.5,4.4,9.1,0.5,0.3,0.1,1.4,0.6,0.2,10.1,0.1,21,1.9,0.2,3.4,29.24509,35.185575,2831,0,"alkaline,granite"
